Розділ,№,Де відкрити,Що зробити,Що маєш побачити,Вийшло?,Якщо ні — коротко що сталось
0. Швидка перевірка — зроби це першою,16,"Налаштування телефону → Екран і яскравість, потім додаток.",Увімкни темну тему і подивись Головну. Потім світлу. Якщо ще не проходила налаштування — і екран «Вітаємо в Bity».,Все читається. Немає білого тексту на білому фоні.,,
0. Швидка перевірка — зроби це першою,17,"Налаштування телефону → Основні → Мова і регіон = Українська, потім додаток.",Подивись Головну і (якщо є) екрани першого налаштування.,Тексти українською. Немає дивних написів на кшталт home.title.,,
0. Швидка перевірка — зроби це першою,18,"Нижня кнопка «Bity AI», поле внизу.","Напиши рівно так і надішли:
«На сніданок була вівсянка з чорницями і чорна кава.»","З’явилась картка, що їжу записано. На Головній ці страви в Сніданку.",,
0. Швидка перевірка — зроби це першою,19,"Нижня кнопка «Bity AI», поле внизу.","Напиши рівно так і надішли:
«запиши 500 мл води»
Якщо спитає підтвердження — натисни «Підтвердити».",На Головній вода збільшилась на 500 мл. Запит не можна просто ігнорувати без відповіді додатку.,,
0. Швидка перевірка — зроби це першою,20,"Головна, блок «Вода».",Постав об’єм склянки 150 мл і натисни +. Потім зміни об’єм на 330 мл і знову +. Потім натисни мінус.,Мінус знімає останні 330 мл. Перші 150 мл лишаються.,,
1. Відкриття додатку,21,Іконка додатку на телефоні,Відкрий додаток.,"Екран Bity, світлий годинник зверху екрана, автоперехід",,
1. Відкриття додатку,22,Іконка додатку на телефоні,Засічи час.,"Близько 1.6 с, не зависає",,
1. Відкриття додатку,23,Іконка додатку на телефоні,Видали додаток потім відкрий.,"Після заставки з авокадо екран «Вітаємо в Bity», не Головна",,
1. Відкриття додатку,24,Іконка додатку на телефоні,"Пройди перше налаштування, закрий, відкрий.",Після заставки з авокадо головні вкладки внизу,,
1. Відкриття додатку,25,Іконка додатку на телефоні,Подивись анімацію.,"Плавна зміна екрана, немає чорного кадру",,
1. Відкриття додатку,26,Іконка додатку на телефоні,Головна потім згорнути потім відкрий.,"Той самий таб, дані живі",,
1. Відкриття додатку,27,Іконка додатку на телефоні,"Відкрий шторка зліва зверху (ліхтарик, літак), повернутись.","Екран на місці, камера (якщо була) відновлюється або коректно зупиняється",,
1. Відкриття додатку,28,Іконка додатку на телефоні,3 рази підряд відкрити/повністю закрий.,Стабільно,,
2. Перше налаштування — привітання,29,Перший екран після встановлення додатку,Відкрий перший запуск.,"Заголовок, 3 пункти зі списку, рухома картинка авокадо, «Почати», дрібний текст внизу «Умовами та конфіденційністю»",,
2. Перше налаштування — привітання,30,Перший екран після встановлення додатку,Подивись першу появу.,"Нижній блок підʼїжджає, авокадо рухається",,
2. Перше налаштування — привітання,31,Перший екран після встановлення додатку,Натисни «Почати».,"Перехід на «Яка ваша ціль?», не перестрибує всі екрани одразу",,
2. Перше налаштування — привітання,32,Перший екран після встановлення додатку,Натисни дрібний текст внизу («Умовами та конфіденційністю»).,Посилання не відкриваються — так і має бути,,
2. Перше налаштування — привітання,33,Перший екран після встановлення додатку,На екран «Вітаємо в Bity».,Немає кнопки назад у цьому ланцюжку екранів,,
2. Перше налаштування — привітання,34,Перший екран після встановлення додатку,Система темна тема.,"Іконки/текст читабельні, картинка нормально виглядає і в темній темі",,
2. Перше налаштування — ціль,35,Екран «Яка ваша ціль?» (Схуднути / Підтримувати / Наростити),Подивись картки.,"Схуднути / Підтримувати вагу / Наростити м’язи, одна вибрана",,
2. Перше налаштування — ціль,36,Екран «Яка ваша ціль?» (Схуднути / Підтримувати / Наростити),Натисни кожну.,"Підсвітка однієї, «Далі» активний",,
2. Перше налаштування — ціль,37,Екран «Яка ваша ціль?» (Схуднути / Підтримувати / Наростити),Вибери Схуднути потім «Далі».,Екран «Оберіть свою стать»,,
2. Перше налаштування — ціль,38,Екран «Яка ваша ціль?» (Схуднути / Підтримувати / Наростити),«Назад».,Повернення на екран «Вітаємо в Bity»,,
2. Перше налаштування — стать,39,Екран «Оберіть свою стать»,"Подивись, що на екрані.",Чоловіча / Жіноча (інших немає),,
2. Перше налаштування — стать,40,Екран «Оберіть свою стать»,Жіноча потім «Далі».,«Скільки вам років?»,,
2. Перше налаштування — стать,41,Екран «Оберіть свою стать»,«Назад».,"«Яка ваша ціль?», попередній вибір збережений",,
2. Перше налаштування — вік,42,Екран з віком (барабан з цифрами),Покрути барабан з цифрами.,"13…100, за замовчуванням 25",,
2. Перше налаштування — вік,43,Екран з віком (барабан з цифрами),Постав 13 і 100 потім «Далі».,"Приймає, додаток не вилетів",,
2. Перше налаштування — вік,44,Екран з віком (барабан з цифрами),«Назад».,«Оберіть свою стать» збережений,,
2. Перше налаштування — зріст і вага,45,Екран зросту і ваги,Кнопка зверху: Метрична (см / кг).,"Зріст 120–220 cm, вага 30–200 kg",,
2. Перше налаштування — зріст і вага,46,Екран зросту і ваги,Кнопка зверху: Імперська (фт-дюйм / фунти).,"Зріст 48–84 in, вага 66–440 lb",,
2. Перше налаштування — зріст і вага,47,Екран зросту і ваги,Метрична (см / кг) потім Імперська (фт-дюйм / фунти) потім Метрична (см / кг).,"Значення перераховуються розумно, барабани з цифрами не порожні",,
2. Перше налаштування — зріст і вага,48,Екран зросту і ваги,«Далі».,Здоров’я,,
2. Перше налаштування — зріст і вага,49,Екран зросту і ваги,«Назад».,«Скільки вам років?» збережений,,
2. Перше налаштування — Здоров’я,50,Екран про Здоров’я,"Подивись, що на екрані.","3 пункти зі списку, «Далі», «Можливо пізніше», «Назад»",,
2. Перше налаштування — Здоров’я,51,Екран про Здоров’я,«Далі» потім дозволити Здоров’я.,"Системне вікно знизу Здоров’я, далі активність",,
2. Перше налаштування — Здоров’я,52,Екран про Здоров’я,Відхилити Здоров’я.,"Далі все працює, далі активність",,
2. Перше налаштування — Здоров’я,53,Екран про Здоров’я,Натисни «Можливо пізніше».,"Без запиту Здоров’я, одразу активність",,
2. Перше налаштування — Здоров’я,54,Екран про Здоров’я,«Далі» і одразу натискати ще.,Немає подвійного запиту / зависання (кнопка стає неактивною),,
2. Перше налаштування — Здоров’я,55,Екран про Здоров’я,«Назад».,Зріст і вага,,
2. Перше налаштування — активність і план,56,"Екран активності, потім екран «Ваш план»",Подивись картки.,4 варіанти: від «Сидячий» до «Спортивний»,,
2. Перше налаштування — активність і план,57,"Екран активності, потім екран «Ваш план»",«Далі» на активність.,"Вікно поверх екрана з рухомою картинкою, автоперехід на «Ваш план»",,
2. Перше налаштування — активність і план,58,"Екран активності, потім екран «Ваш план»",Подивись «Ваш план».,"Калорії, дата цілі, білки/жири/вуглеводи/вода, клітковина/цукор/натрій",,
2. Перше налаштування — активність і план,59,"Екран активності, потім екран «Ваш план»","Схуднути проти Наростити м’язи (перевір двічі: спочатку одну ціль, потім іншу).",Калорії Наростити м’язи вищі за Схуднути,,
2. Перше налаштування — активність і план,60,"Екран активності, потім екран «Ваш план»",Сидячий проти Спортивний.,Спортивний має вищу денну норму калорій,,
2. Перше налаштування — активність і план,61,"Екран активності, потім екран «Ваш план»",Мета Підтримувати вагу.,Особливий текст дати цілі (не «схуднення»),,
2. Перше налаштування — активність і план,62,"Екран активності, потім екран «Ваш план»",Натисни «Дізнатися більше».,Відкривається браузер з URL,,
2. Перше налаштування — активність і план,63,"Екран активності, потім екран «Ваш план»",«Назад».,Активність,,
2. Перше налаштування — активність і план,64,"Екран активності, потім екран «Ваш план»",«Далі» на «Ваш план».,Головні вкладки внизу. Повторне відкриття додатку вже не перше налаштування,,
2. Перше налаштування — активність і план,65,"Екран активності, потім екран «Ваш план»",Проведи пальцем горизонтально.,Сторінка не змінюється,,
2. Перше налаштування — активність і план,66,"Екран активності, потім екран «Ваш план»",З «Ваш план» назад до екрана «Вітаємо в Bity» і знову вперед.,"Дані/вибір не губляться безглуздо, план перераховується",,
3. П’ять кнопок внизу екрана,67,Нижній ряд з 5 кнопками,Подивись ряд кнопок внизу.,"5 іконок і підписів, вибрана вкладка підсвічена",,
3. П’ять кнопок внизу екрана,68,Нижній ряд з 5 кнопками,Вкладка Головна.,"Щоденник, кільця, вода, профіль справа, дата зліва",,
3. П’ять кнопок внизу екрана,69,Нижній ряд з 5 кнопками,Вкладка Прогрес.,"Заголовок, 3 кнопки: вага / тренування / фото",,
3. П’ять кнопок внизу екрана,70,Нижній ряд з 5 кнопками,Відкрий Bity AI на чистому додатку (помічника ще не відкривала).,"Перший екран помічника, не одразу чат",,
3. П’ять кнопок внизу екрана,71,Нижній ряд з 5 кнопками,"«Почнімо» на перший екран помічника, вийти з додатку, зайти в AI.",Одразу чат,,
3. П’ять кнопок внизу екрана,72,Нижній ряд з 5 кнопками,Вкладка Рецепти.,"Майже порожній екран, лише назва (фон + великий заголовок). Не каталог рецептів",,
3. П’ять кнопок внизу екрана,73,Нижній ряд з 5 кнопками,Вкладка Нагороди.,Картка рівня + сітка значків,,
3. П’ять кнопок внизу екрана,74,Нижній ряд з 5 кнопками,Головна потім «Пошук» потім «Назад».,"Повернення на Головну, ряд кнопок внизу знову видно",,
3. П’ять кнопок внизу екрана,75,Нижній ряд з 5 кнопками,Відкрий штрихкод/фото/пошук.,Ряд кнопок внизу сховано (нижній ряд ховається),,
3. П’ять кнопок внизу екрана,76,Нижній ряд з 5 кнопками,Натискай всі вкладки внизу 10 разів.,Немає вильоту і білого екрана,,
3. П’ять кнопок внизу екрана,77,Нижній ряд з 5 кнопками,AI потім Головна потім AI.,Стан чату збережений,,
4. Головна — кружечки калорій зверху,78,"Головна, верхні картки з кружечками",Свайп вліво/вправо.,"3 картки, крапки під картками рухаються разом зі свайпом",,
4. Головна — кружечки калорій зверху,79,"Головна, верхні картки з кружечками","Новий день, нічого не зʼїдено.","Їжа 0, залишок калорій = ціль, кільце 0%",,
4. Головна — кружечки калорій зверху,80,"Головна, верхні картки з кружечками",Запиши ~400 ккал.,"Їжа і залишок калорій оновились, % кільця зріс",,
4. Головна — кружечки калорій зверху,81,"Головна, верхні картки з кружечками",Запиши більше цілі.,"Залишок калорій 0 або негатив коректно, кільце 100%+ без артефактів",,
4. Головна — кружечки калорій зверху,82,"Головна, верхні картки з кружечками",Відкрий 2-гу картку.,Білки/вуглеводи/жири кільця + клітковина/цукор/сіль,,
4. Головна — кружечки калорій зверху,83,"Головна, верхні картки з кружечками",Немає тренувань.,Тренування 0,,
4. Головна — кружечки калорій зверху,84,"Головна, верхні картки з кружечками",Запиши тренування з ккал.,Тренування зріс,,
4. Головна — кружечки калорій зверху,85,"Головна, верхні картки з кружечками",Подивись лівий великий заголовок.,"«Сьогодні, …» або локалізована сьогоднішня дата",,
4. Головна — кружечки калорій зверху,86,"Головна, верхні картки з кружечками",Шукати стрілки/календар на Головній.,Так і має бути: цього екрана / кнопки немає щоденник завжди сьогодні,,
4. Головна — кружечки калорій зверху,87,"Головна, верхні картки з кружечками",Натисни іконка людини справа.,Так і має бути: цього екрана / кнопки немає Налаштування не відкривається,,
4. Головна — кружечки калорій зверху,88,"Головна, верхні картки з кружечками","Запиши їжу з іншого ланцюжок екранів, повернутись.",Картки оновились без потягнути список вниз,,
4. Головна — кружечки калорій зверху,89,"Головна, верхні картки з кружечками",Темна тема режим.,"Фон, картки, кільця, текст читабельні",,
"4. Головна — сніданок, обід, вечеря",90,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",Новий день.,"Картки є, список продуктів схований (не «пляшка» 16pt)",,
"4. Головна — сніданок, обід, вечеря",91,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",Запиши їжу.,"Назва, порція/ккал, фото якщо є",,
"4. Головна — сніданок, обід, вечеря",92,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",3 позиції в Обід.,"Усі рядки, сума ккал картки = сумі рядків",,
"4. Головна — сніданок, обід, вечеря",93,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",Натисни по рядку (з’їдено).,Позначка «з’їдено»/зʼїдено. Повторний натисни знімає,,
"4. Головна — сніданок, обід, вечеря",94,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",Є 2+ незʼїдених потім кнопка.,Усі стають з’їдено,,
"4. Головна — сніданок, обід, вечеря",95,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",Немає незʼїдених потім кнопка.,"Нічого не змінюється — так і має бути, додаток не вилетів",,
"4. Головна — сніданок, обід, вечеря",96,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",Олівець Сніданок.,Шита екран зі списком страв (олівець) цього прийому,,
"4. Головна — сніданок, обід, вечеря",97,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",Олівець на порожній Вечеря.,"Екран зі списком страв (олівець) відкривається, картка їжі схована",,
"4. Головна — сніданок, обід, вечеря",98,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",+ будь-який метод.,"Новий запис саме в Перекуси, не в Сніданок",,
"4. Головна — сніданок, обід, вечеря",99,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",Продукт з дуже довгим імʼям.,"Назва обрізається, розташування не ламається",,
"4. Головна — сніданок, обід, вечеря",100,"Головна, блоки Сніданок / Обід / Перекуси / Вечеря",Якщо вдалось запиши 0 ккал.,"Рядок є, кільце не дивна помилка замість числа",,
5. Вода на Головній,101,"Головна, блок з водою і склянками",Новий день.,"0 / ціль, склянки порожні",,
5. Вода на Головній,102,"Головна, блок з водою і склянками",Натисни +.,"+1 склянка, лічильник + обʼєм склянки",,
5. Вода на Головній,103,"Головна, блок з водою і склянками",Є вода потім −.,Мінус остання склянка,,
5. Вода на Головній,104,"Головна, блок з водою і склянками",0 води потім −.,Нічого не змінюється — так і має бути,,
5. Вода на Головній,105,"Головна, блок з водою і склянками",Додавати до цілі.,Склянки частково/повністю заповнюються (8 слотів),,
5. Вода на Головній,106,"Головна, блок з водою і склянками",Додати більше за ціль.,"Лічильник > цілі, додаток не вилетів",,
5. Вода на Головній,107,"Головна, блок з водою і склянками",Олівець на воді.,"Шит: поле, чіпи 150/200/250/330, «Зберегти», «Закрити»",,
5. Вода на Головній,108,"Головна, блок з водою і склянками",Натисни 250 потім «Зберегти».,Нова склянка = 250 ml (перевірити наступним +),,
5. Вода на Головній,109,"Головна, блок з водою і склянками",Ввести 180 потім «Зберегти».,Склянка 180,,
5. Вода на Головній,110,"Головна, блок з водою і склянками",Ввести літери.,Не вводяться,,
5. Вода на Головній,111,"Головна, блок з водою і склянками",Натисни поле.,"Виділено все, зручно перезаписати",,
5. Вода на Головній,112,"Головна, блок з водою і склянками",Зняти фокус.,"Показує локалізований формат з ml, не 150ml всередині під час вводу",,
5. Вода на Головній,113,"Головна, блок з водою і склянками",Очистити потім «Зберегти».,"Шит не закривається, значення не 0",,
5. Вода на Головній,114,"Головна, блок з водою і склянками",Зміни чіп потім «Закрити».,Старий обʼєм лишився,,
5. Вода на Головній,115,"Головна, блок з водою і склянками",Натисни очистити.,"Поле порожнє, клавіатура відкрита",,
5. Вода на Головній,116,"Головна, блок з водою і склянками",Перший + за сесію.,"Плавне наповнення, не стрибок",,
6. Кнопка «+» біля щоденника,117,"Головна, кнопка + біля щоденника",+ на щоденнику.,"Шит ~260pt, сіра рисочка зверху вікна, 4 картки, «Закрити»",,
6. Кнопка «+» біля щоденника,118,"Головна, кнопка + біля щоденника",«Закрити» / свайп вниз.,"Дізміс, Головна на місці",,
6. Кнопка «+» біля щоденника,119,"Головна, кнопка + біля щоденника",Натисни «Сканувати їжу».,Камера фото страви,,
6. Кнопка «+» біля щоденника,120,"Головна, кнопка + біля щоденника",Натисни «Сканувати штрихкод».,Камера штрихкоду,,
6. Кнопка «+» біля щоденника,121,"Головна, кнопка + біля щоденника",Натисни «Пошук».,"Екран пошуку, клавіатура",,
6. Кнопка «+» біля щоденника,122,"Головна, кнопка + біля щоденника",Натисни «Голосовий запис».,Екран голосу,,
6. Кнопка «+» біля щоденника,123,"Головна, кнопка + біля щоденника",Шукати «type їжа» у вікні знизу.,Так і має бути: цього екрана / кнопки немає,,
6. Кнопка «+» біля щоденника,124,"Головна, кнопка + біля щоденника",Обрати метод.,"Шит закривається, відкривається ланцюжок екранів",,
7. Сканування штрихкоду,125,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Дозволити Камера.,"Превʼю, рамка, смужка сканування, підказка",,
7. Сканування штрихкоду,126,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Не дозволяти.,"Зрозуміла помилка, немає чорного зависання",,
7. Сканування штрихкоду,127,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Навести на штрихкод/UPC.,Напис «Розпізнавання...» потім напис «Страву розпізнано» потім картка продукту з калоріями,,
7. Сканування штрихкоду,128,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Не рухати після скану.,Не спамить десятками екранів,,
7. Сканування штрихкоду,129,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),"Код, якого немає в базі.","Повідомлення помилки в підказка, можна сканувати далі",,
7. Сканування штрихкоду,130,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Натисни ліхтарик.,Ліхтар on/вимкнено,,
7. Сканування штрихкоду,131,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Галерея потім фото з кодом.,«Знайти» як зі скану,,
7. Сканування штрихкоду,132,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Фото без коду.,"Помилка, камера жива",,
7. Сканування штрихкоду,133,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Відкрий вікно вибору потім «Скасувати».,Камера не зламалась,,
7. Сканування штрихкоду,134,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Натисни Enter manually.,Шит з полем і «Знайти»,,
7. Сканування штрихкоду,135,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),«Знайти» на порожньому.,«Знайти» неактивний / помилка,,
7. Сканування штрихкоду,136,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Ввести 123.,Помилка помилка «не знайдено»,,
7. Сканування штрихкоду,137,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Реальний штрихкод потім «Знайти».,Картка продукту з калоріями,,
7. Сканування штрихкоду,138,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),«Закрити» на вікні знизу.,Повернення до камери,,
7. Сканування штрихкоду,139,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),«Закрити».,Повернення назад на Головній,,
7. Сканування штрихкоду,140,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Кнопка зверху: фото страви.,"Заміна на фото-камеру, без подвійного стека",,
7. Сканування штрихкоду,141,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Кнопка зверху: «Пошук».,Екран пошуку,,
7. Сканування штрихкоду,142,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Кнопка зверху: «Голосовий запис».,Екран голосу,,
7. Сканування штрихкоду,143,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Режим польоту (без інтернету) потім скан.,"Помилка пошук продукту, не додаток вилетів",,
7. Сканування штрихкоду,144,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Подивись підказку.,Текст є; пейвол не блокує скан,,
7. Сканування штрихкоду,145,Камера штрихкоду (з Головної: + → «Сканувати штрихкод»),Тримати зручно.,Рамка і рамка поверх камери не розʼїжджаються,,
8. Фото страви,146,Камера фото страви (з Головної: + → «Сканувати їжу»),Перший захід.,"Системний промпт, далі превʼю",,
8. Фото страви,147,Камера фото страви (з Головної: + → «Сканувати їжу»),Натисни у рамці / кнопка зйомки.,Напис «Розпізнавання...» потім напис «Страву розпізнано» потім результат вікно знизу,,
8. Фото страви,148,Камера фото страви (з Головної: + → «Сканувати їжу»),Після аналізу.,"Назва, оцінка, ккал, Б/Ж/В, «Додати», Деталі",,
8. Фото страви,149,Камера фото страви (з Головної: + → «Сканувати їжу»),«Додати».,Екран «додати в щоденник» запис (або лог) і шлях до Головна,,
8. Фото страви,150,Камера фото страви (з Головної: + → «Сканувати їжу»),Деталі.,Картка продукту з калоріями,,
8. Фото страви,151,Камера фото страви (з Головної: + → «Сканувати їжу»),«Закрити» на вікні знизу.,Знову звичайний стан/камера,,
8. Фото страви,152,Камера фото страви (з Головної: + → «Сканувати їжу»),Галерея потім фото їжі.,Той самий аналіз,,
8. Фото страви,153,Камера фото страви (з Головної: + → «Сканувати їжу»),Фото стіни.,"Помилка аналізу в статусі, не додаток вилетів",,
8. Фото страви,154,Камера фото страви (з Головної: + → «Сканувати їжу»),Закрити камеру системно / немає камери (симулятор).,Повідомлення помилки,,
8. Фото страви,155,Камера фото страви (з Головної: + → «Сканувати їжу»),Ліхтарик.,Увімкнено / вимкнено,,
8. Фото страви,156,Камера фото страви (з Головної: + → «Сканувати їжу»),«Закрити».,Головна,,
8. Фото страви,157,Камера фото страви (з Головної: + → «Сканувати їжу»),Кнопка зверху: «Сканувати штрихкод»/«Пошук»/«Голосовий запис».,Коректна заміна ланцюжок екранів,,
8. Фото страви,158,Камера фото страви (з Головної: + → «Сканувати їжу»),Під час йде розпізнавання.,"Лінія вниз-вгору ~1.5 с, плавно зникає по краях",,
8. Фото страви,159,Камера фото страви (з Головної: + → «Сканувати їжу»),Режим польоту (без інтернету) потім зйомка.,Помилка аналізу,,
8. Фото страви,160,Камера фото страви (з Головної: + → «Сканувати їжу»),Після помилки зняти ще раз.,Новий аналіз стартує,,
9. Запис голосом,161,Екран голосу (з Головної: + → «Голосовий запис»),Перший запис потім Дозволити.,"Слухає, смужка звуку",,
9. Запис голосом,162,Екран голосу (з Головної: + → «Голосовий запис»),Не дозволяти.,Помилка мікрофона в статусі,,
9. Запис голосом,163,Екран голосу (з Головної: + → «Голосовий запис»),Наговорити страву потім стоп.,"Текст з голосу у полі, фаза recorded",,
9. Запис голосом,164,Екран голосу (з Головної: + → «Голосовий запис»),Виправити текст.,"«Аналізувати» активний, якщо не порожньо",,
9. Запис голосом,165,Екран голосу (з Головної: + → «Голосовий запис»),Стерти все потім «Аналізувати».,Не стартує,,
9. Запис голосом,166,Екран голосу (з Головної: + → «Голосовий запис»),«Аналізувати» валідний текст.,"Result вікно знизу, «Додати» / Деталі",,
9. Запис голосом,167,Екран голосу (з Головної: + → «Голосовий запис»),«asdfgh» / offline.,Помилка в статусі,,
9. Запис голосом,168,Екран голосу (з Головної: + → «Голосовий запис»),Як у фото.,Екран «додати в щоденник» / картка продукту з калоріями,,
9. Запис голосом,169,Екран голосу (з Головної: + → «Голосовий запис»),Очистити.,Повернення в звичайний стан,,
9. Запис голосом,170,Екран голосу (з Головної: + → «Голосовий запис»),«Назад».,"Головна, запис зупинений",,
9. Запис голосом,171,Екран голосу (з Головної: + → «Голосовий запис»),Згорни під час йде слухання.,Додаток не вилетів; запис коректно зупиняється або відновлюється,,
