Секція,ID,Кейс,Кроки,Очікувано,Статус,Нотатки
Smoke (швидкий прогін),S17,UK локаль,"Мова системи українська, пройти Home + онбординг екран","Тексти українською, без ключів `home.` / `onboarding.`",,
Smoke (швидкий прогін),S18,Чат: лог сніданку фразою,AI → `На сніданок була вівсянка з чорницями і чорна кава.`,"Картка meal, Breakfast на Home",,
Smoke (швидкий прогін),S19,Чат: вода з підтвердженням,`запиши 500 мл води` → Confirm,"Home +500 мл, не ігнорувати алерт",,
Smoke (швидкий прогін),S20,Склянки різних обʼємів,"Склянка 150 `+`, змінити на 330 `+`, потім `−`","`−` знімає 330, 150 лишається",,
A. Запуск і сесія,A01,Сплеш показується,Відкрити апку,"Екран Bity, світлий status bar, автоперехід",,
A. Запуск і сесія,A02,Тривалість сплеша,Засікти час,"Близько 1.6 с, не зависає",,
A. Запуск і сесія,A03,Перший запуск,Видалити апку → відкрити,"Після сплеша Welcome, не Home",,
A. Запуск і сесія,A04,Returning user,"Пройти онбординг, закрити, відкрити",Після сплеша головні таби,,
A. Запуск і сесія,A05,Перехід зі сплеша,Дивитись анімацію,"Cross-dissolve, немає чорного кадру",,
A. Запуск і сесія,A06,Повернення з фону,Home → згорнути → відкрити,"Той самий таб, дані живі",,
A. Запуск і сесія,A07,Після дзвінка / Control Center,"Відкрити Control Center, повернутись","UI на місці, камера (якщо була) відновлюється або коректно стопається",,
A. Запуск і сесія,A08,Немає крашу на холодному старті,3 рази підряд відкрити/вбити,Стабільно,,
B1. Welcome,B01,Контент Welcome,Відкрити перший запуск,"Заголовок, 3 фічі, GIF авокадо, Get Started, футер Terms/Privacy",,
B1. Welcome,B02,Вхідна анімація,Дивитись першу появу,"Нижній блок підʼїжджає, GIF грає",,
B1. Welcome,B03,Get Started,Тап Get Started,"Перехід на Goal, не скіп усього флоу",,
B1. Welcome,B04,Футер Terms/Privacy,Тап по футеру,[очікувано немає] посилання не відкриваються,,
B1. Welcome,B05,Немає Back,На Welcome,Немає кнопки назад у флоу,,
B1. Welcome,B06,Dark на Welcome,Система Dark,"Іконки/текст читабельні, GIF теми ок",,
B2. Goal,B07,Три цілі,Дивитись картки,"Lose / Maintain / Gain (Build), одна вибрана",,
B2. Goal,B08,Перемикання карток,Тапнути кожну,"Підсвітка однієї, Continue активний",,
B2. Goal,B09,Continue,Вибрати Lose → Continue,Екран Sex,,
B2. Goal,B10,Back з Goal,Back,Повернення на Welcome,,
B3. Sex,B11,Опції,Дивитись,Male / Female (інших немає),,
B3. Sex,B12,Вибір + Continue,Female → Continue,Age,,
B3. Sex,B13,Back,Back,"Goal, попередній вибір збережений",,
B4. Age,B14,Діапазон,Крутити пікер,"13…100, дефолт 25",,
B4. Age,B15,Межі,Поставити 13 і 100 → Continue,"Приймає, без крашу",,
B4. Age,B16,Back,Back,Sex збережений,,
B5. Body (зріст / вага),B17,Metric,Сегмент Metric,"Зріст 120–220 cm, вага 30–200 kg",,
B5. Body (зріст / вага),B18,Imperial,Сегмент Imperial,"Зріст 48–84 in, вага 66–440 lb",,
B5. Body (зріст / вага),B19,Перемикання одиниць,Metric → Imperial → Metric,"Значення конвертяться розумно, пікери не порожні",,
B5. Body (зріст / вага),B20,Continue,Continue,Health,,
B5. Body (зріст / вага),B21,Back,Back,Age збережений,,
B6. Health,B22,Контент,Дивитись,"3 фічі, Continue, Maybe later, Back",,
B6. Health,B23,Continue + Allow,Continue → дозволити Health,"Системний шит Health, далі Activity",,
B6. Health,B24,Continue + Don’t Allow,Відхилити Health,"Флоу не ламається, далі Activity",,
B6. Health,B25,Maybe later,Тап Maybe later,"Без запиту Health, одразу Activity",,
B6. Health,B26,Кнопка під час запиту,Continue і одразу тапати ще,Немає подвійного запиту / зависання (кнопка disable),,
B6. Health,B27,Back,Back,Body,,
B7. Activity → Calculating → Plan,B28,4 рівні активності,Дивитись картки,4 опції (сидячий → атлетичний),,
B7. Activity → Calculating → Plan,B29,Calculating,Continue на Activity,"Модалка з GIF, автоперехід на Plan",,
B7. Activity → Calculating → Plan,B30,Plan контент,Дивитись Plan,"Калорії, дата цілі, білки/жири/вуглеводи/вода, клітковина/цукор/натрій",,
B7. Activity → Calculating → Plan,B31,Різні цілі дають різний план,Lose vs Gain (два прогони),Калорії Gain вищі за Lose,,
B7. Activity → Calculating → Plan,B32,Різна активність,Sedentary vs Athletic,Athletic має вищий TDEE/ккал,,
B7. Activity → Calculating → Plan,B33,Maintain copy,Мета Maintain,Особливий текст дати цілі (не «схуднення»),,
B7. Activity → Calculating → Plan,B34,Learn more,Тап Learn more,Відкривається Safari з URL,,
B7. Activity → Calculating → Plan,B35,Back з Plan,Back,Activity,,
B7. Activity → Calculating → Plan,B36,Завершення,Continue на Plan,Головні таби. Повторне відкриття апки вже не онбординг,,
B7. Activity → Calculating → Plan,B37,Немає свайпа між кроками,Свайпнути горизонтально,Сторінка не змінюється,,
B7. Activity → Calculating → Plan,B38,Повний Back-прохід,З Plan назад до Welcome і знову вперед,"Дані/вибір не губляться безглуздо, план перераховується",,
C. Навігація і таби,C01,5 табів,Дивитись tab bar,"5 іконок і підписів, вибраний таб підсвічений",,
C. Навігація і таби,C02,Home root,Таб Home,"Щоденник, кільця, вода, профіль справа, дата зліва",,
C. Навігація і таби,C03,Progress root,Таб Progress,"Заголовок, 3 кнопки: вага / тренування / фото",,
C. Навігація і таби,C04,AI root (вперше),Чистий `hasSeenAIIntro`,"Intro, не одразу чат",,
C. Навігація і таби,C05,AI root (після intro),"Start на intro, вийти з апки, зайти в AI",Одразу чат,,
C. Навігація і таби,C06,Recipes,Таб Recipes,Placeholder (фон + великий тайтл). Не каталог рецептів,,
C. Навігація і таби,C07,Rewards,Таб Rewards,Картка рівня + сітка бейджів,,
C. Навігація і таби,C08,Стек навігації,Home → Search → Back,"Повернення на Home, tab bar знову видно",,
C. Навігація і таби,C09,Tab bar ховається,Відкрити баркод/фото/пошук,Tab bar сховано (`hidesBottomBarWhenPushed`),,
C. Навігація і таби,C10,Швидке перемикання табів,Клацати всі таби 10 разів,Немає крашу / білого екрана,,
C. Навігація і таби,C11,Повернення на той самий таб,AI → Home → AI,Стан чату збережений,,
D1. Карусель статистики,D01,Свайп каруселі,Свайп вліво/вправо,"3 картки, page control синхронний",,
D1. Карусель статистики,D02,Калорії порожній день,"Новий день, нічого не зʼїдено","Food 0, remaining = ціль, кільце 0%",,
D1. Карусель статистики,D03,Калорії після логу,Залогувати ~400 ккал,"Food і remaining оновились, % кільця зріс",,
D1. Карусель статистики,D04,Over-budget,Залогувати більше цілі,"Remaining 0 або негатив коректно, кільце 100%+ без артефактів",,
D1. Карусель статистики,D05,Макроси,Відкрити 2-гу картку,Білки/вуглеводи/жири кільця + fiber/sugar/sodium,,
D1. Карусель статистики,D06,Burn порожній,Немає тренувань,Exercise 0,,
D1. Карусель статистики,D07,Burn після workout,Залогувати тренування з ккал,Exercise зріс,,
D1. Карусель статистики,D08,Дата в навбарі,Дивитись лівий тайтл,"«Today, …» або локалізована сьогоднішня дата",,
D1. Карусель статистики,D09,Немає зміни дня,Шукати стрілки/календар на Home,[очікувано немає] щоденник завжди сьогодні,,
D1. Карусель статистики,D10,Кнопка профілю,Тап person справа,[очікувано немає] Settings не відкривається,,
D1. Карусель статистики,D11,Reload при поверненні,"Залогувати їжу з іншого флоу, повернутись",Картки оновились без pull-to-refresh,,
D1. Карусель статистики,D12,Dark Home,Dark Mode,"Фон, картки, кільця, текст читабельні",,
D2. Прийоми їжі,D13,Порожні прийоми,Новий день,"Картки є, список продуктів схований (не «пляшка» 16pt)",,
D2. Прийоми їжі,D14,Рядок продукту,Залогувати їжу,"Назва, порція/ккал, фото якщо є",,
D2. Прийоми їжі,D15,Кілька продуктів,3 позиції в Lunch,"Усі рядки, сума ккал картки = сумі рядків",,
D2. Прийоми їжі,D16,Toggle eaten,Тап по рядку (eaten),Страйк/зʼїдено. Повторний тап знімає,,
D2. Прийоми їжі,D17,Mark all eaten,Є 2+ незʼїдених → кнопка,Усі стають eaten,,
D2. Прийоми їжі,D18,Mark all eaten (вже всі),Немає незʼїдених → кнопка,"No-op, без крашу",,
D2. Прийоми їжі,D19,Олівець прийому,Олівець Breakfast,Шита Edit meal цього прийому,,
D2. Прийоми їжі,D20,Олівець порожнього,Олівець на порожній Dinner,"Edit meal відкривається, картка їжі схована",,
D2. Прийоми їжі,D21,Quick log потрапляє в Snacks,`+` будь-який метод,"Новий запис саме в Snacks, не в Breakfast",,
D2. Прийоми їжі,D22,Довга назва,Продукт з дуже довгим імʼям,"Truncate, лейаут не ламається",,
D2. Прийоми їжі,D23,0 ккал продукт,Якщо вдалось залогувати 0 ккал,"Рядок є, кільце не NaN",,
E. Вода,E01,Порожня вода,Новий день,"0 / ціль, склянки порожні",,
E. Вода,E02,Плюс,Тап `+`,"+1 склянка, лічильник + обʼєм склянки",,
E. Вода,E03,Мінус,Є вода → `−`,Мінус остання склянка,,
E. Вода,E04,Мінус на нулі,0 води → `−`,No-op,,
E. Вода,E05,Наповнення до цілі,Додавати до цілі,Склянки частково/повністю заповнюються (8 слотів),,
E. Вода,E06,Понад ціль,Додати більше за target,"Лічильник > цілі, без крашу",,
E. Вода,E07,Відкрити обʼєм,Олівець на воді,"Шит: поле, чіпи 150/200/250/330, Save, Close",,
E. Вода,E08,Чіп 250,Тап 250 → Save,Нова склянка = 250 ml (перевірити наступним `+`),,
E. Вода,E09,Кастомне число,Ввести 180 → Save,Склянка 180,,
E. Вода,E10,Тільки цифри,Ввести літери,Не вводяться,,
E. Вода,E11,Select all при фокусі,Тапнути поле,"Виділено все, зручно перезаписати",,
E. Вода,E12,Суфікс ml,Зняти фокус,"Показує локалізований формат з ml, не `150ml` всередині під час вводу",,
E. Вода,E13,Save при 0 / порожньо,Clear → Save,"Шит не закривається, значення не 0",,
E. Вода,E14,Close без Save,Змінити чіп → Close,Старий обʼєм лишився,,
E. Вода,E15,Clear,Тап clear,"Поле порожнє, клавіатура відкрита",,
E. Вода,E16,Анімація склянок,Перший `+` за сесію,"Плавне наповнення, не стрибок",,
F. Quick Log,F01,Відкриття,`+` на щоденнику,"Шит ~260pt, grabber, 4 картки, Close",,
F. Quick Log,F02,Close,Close / свайп вниз,"Дізміс, Home на місці",,
F. Quick Log,F03,Scan food,Тап Scan food,Камера AI photo,,
F. Quick Log,F04,Barcode,Тап Barcode,Камера баркода,,
F. Quick Log,F05,Search,Тап Search,"Екран пошуку, клавіатура",,
F. Quick Log,F06,Voice,Тап Voice,Екран голосу,,
F. Quick Log,F07,Немає Text log,Шукати «type food» у шиті,[очікувано немає],,
F. Quick Log,F08,Після вибору,Обрати метод,"Шит закривається, відкривається флоу",,
G. Штрихкод,G01,Перший запуск камери,Дозволити Camera,"Превʼю, рамка, scan-line, hint",,
G. Штрихкод,G02,Відмова камери,Don’t Allow,"Зрозуміла помилка, немає чорного зависання",,
G. Штрихкод,G03,Живий скан валідного коду,Навести на EAN/UPC,Identifying → recognized → Product details,,
G. Штрихкод,G04,Повтор того самого коду,Не рухати після скану,Не спамить десятками екранів,,
G. Штрихкод,G05,Невідомий код,"Код, якого немає в базі","Повідомлення помилки в hint, можна сканувати далі",,
G. Штрихкод,G06,Ліхтар,Тап flash,Ліхтар on/off,,
G. Штрихкод,G07,Галерея з баркодом,Gallery → фото з кодом,Lookup як зі скану,,
G. Штрихкод,G08,Галерея без баркода,Фото без коду,"Помилка, камера жива",,
G. Штрихкод,G09,Cancel галереї,Відкрити picker → Cancel,Камера не зламалась,,
G. Штрихкод,G10,Enter manually,Тап Enter manually,Шит з полем і Lookup,,
G. Штрихкод,G11,Manual порожньо,Lookup на порожньому,Lookup неактивний / помилка,,
G. Штрихкод,G12,Manual невалідний,Ввести `123`,Помилка invalid,,
G. Штрихкод,G13,Manual валідний,Реальний EAN → Lookup,Product details,,
G. Штрихкод,G14,Close manual,Close на шиті,Повернення до камери,,
G. Штрихкод,G15,Close сканера,Close,Pop на Home,,
G. Штрихкод,G16,Switch → Photo,Сегмент AI Photo,"Заміна на фото-камеру, без подвійного стека",,
G. Штрихкод,G17,Switch → Search,Сегмент Search,Екран пошуку,,
G. Штрихкод,G18,Switch → Voice,Сегмент Voice,Екран голосу,,
G. Штрихкод,G19,Offline,Airplane → скан,"Помилка lookup, не краш",,
G. Штрихкод,G20,Tooltip free scans,Дивитись підказку,Текст є; пейвол не блокує скан,,
G. Штрихкод,G21,Landscape / notch,Тримати зручно,Рамка і overlay не розʼїжджаються,,
H. AI фото їжі,H01,Дозвіл камери,Перший захід,"Системний промпт, далі превʼю",,
H. AI фото їжі,H02,Зйомка кадру,Тап у рамці / shutter,Identifying → recognized → result sheet,,
H. AI фото їжі,H03,Результат,Після аналізу,"Назва, score, ккал, Б/Ж/В, Add, Details",,
H. AI фото їжі,H04,Add з шита,Add,Add food entry (або лог) і шлях до Home,,
H. AI фото їжі,H05,View details,Details,Product details,,
H. AI фото їжі,H06,Закрити result,Close на шиті,Знову idle/камера,,
H. AI фото їжі,H07,Галерея страви,Gallery → фото їжі,Той самий аналіз,,
H. AI фото їжі,H08,Порожнє / не їжа,Фото стіни,"Помилка аналізу в статусі, не краш",,
H. AI фото їжі,H09,Capture fail,Закрити камеру системно / немає камери (симулятор),Повідомлення помилки,,
H. AI фото їжі,H10,Ліхтар,Flash,On/off,,
H. AI фото їжі,H11,Close,Close,Home,,
H. AI фото їжі,H12,Switch режимів,Сегмент Barcode/Search/Voice,Коректна заміна флоу,,
H. AI фото їжі,H13,Scan-line,Під час identifying,"Лінія вниз-вгору ~1.5 с, fade по краях",,
H. AI фото їжі,H14,Offline,Airplane → зйомка,Помилка аналізу,,
H. AI фото їжі,H15,Повторна зйомка,Після помилки зняти ще раз,Новий аналіз стартує,,
I. Голосовий лог,I01,Мікрофон Allow,Перший запис → Allow,"Слухає, waveform",,
I. Голосовий лог,I02,Мікрофон Deny,Don’t Allow,Помилка мікрофона в статусі,,
I. Голосовий лог,I03,Запис і стоп,Наговорити страву → стоп,"Transcript у полі, фаза recorded",,
I. Голосовий лог,I04,Редагування транскрипту,Виправити текст,"Analyze активний, якщо не порожньо",,
I. Голосовий лог,I05,Analyze порожньо,Стерти все → Analyze,Не стартує,,
I. Голосовий лог,I06,Analyze успіх,Analyze валідний текст,"Result sheet, Add / Details",,
I. Голосовий лог,I07,Analyze fail,«asdfgh» / offline,Помилка в статусі,,
I. Голосовий лог,I08,Add / Details,Як у фото,Add entry / Product details,,
I. Голосовий лог,I09,Clear,Clear,Повернення в idle,,
I. Голосовий лог,I10,Back,Back,"Home, запис зупинений",,
I. Голосовий лог,I11,Фоновий режим під час запису,Згорнути під час listening,Немає крашу; запис коректно стопається або відновлюється,,
J. Пошук їжі,J01,Відкриття з Quick Log,Search,"Поле, мікрофон, AI-блок, Results",,
J. Пошук їжі,J02,Порожній запит,Нічого не вводити / стерти,Списки порожні,,
J. Пошук їжі,J03,Успішний пошук,«chicken»,Suggested (до 2) + Results,,
J. Пошук їжі,J04,Debounce,Друкувати швидко,Немає запиту на кожну літеру; стабільний результат,,
J. Пошук їжі,J05,0 результатів,«zzzzzxq»,"Порожньо, без крашу",,
J. Пошук їжі,J06,Тап результату,Тап продукт,"Лог у Snacks, pop на Home, кільця оновились",,
J. Пошук їжі,J07,Мікрофон у пошуку,Mic → сказати продукт,"Текст у полі, пошук виконується",,
J. Пошук їжі,J08,Clear search,Clear,Поле і списки порожні,,
J. Пошук їжі,J09,Back,Back,Home,,
J. Пошук їжі,J10,Offline,Airplane → запит,"Порожні результати / помилка, не краш",,
J. Пошук їжі,J11,З Edit meal,Edit meal `+` → Search → тап,Продукт додається в цей прийом (не обовʼязково Snacks),,
J. Пошук їжі,J12,Довгий список,Запит з багатьма результатами,"Скрол плавний, картинки не валять FPS",,
J. Пошук їжі,J13,Немає картинки,Продукт без фото,"Плейсхолдер, лейаут живий",,
K1. Product details,K01,Контент,Відкрити з баркода/фото,"Фото, назва, score, нутрицієнти, інгредієнти (якщо є)",,
K1. Product details,K02,Score info,Тап інфо по score,Алерт з поясненням,,
K1. Product details,K03,Share,Share,Системний share sheet,,
K1. Product details,K04,Add to diary,Add,Add food entry,,
K1. Product details,K05,Add instead,Якщо є suggestion,Альтернатива йде в Add entry,,
K1. Product details,K06,Немає suggestion,Продукт без альтернативи,Блок suggestion схований,,
K1. Product details,K07,Немає інгредієнтів,,Секція ingredients схована,,
K1. Product details,K08,Back,Back,Попередній екран (камера/пошук),,
K2. Add food entry,K09,Дефолти,Відкрити,"Servings 1, meal можна змінити, дата сьогодні",,
K2. Add food entry,K10,Meal chips,Breakfast / Lunch / Snacks / Dinner,"Вибраний чіп, лог у цей прийом",,
K2. Add food entry,K11,Servings +,Тапати +,1→2→… нутрицієнти множаться,,
K2. Add food entry,K12,Servings −,На 1 тап −,Не йде нижче 1,,
K2. Add food entry,K13,Servings 99,Дотиснути до 99,Стоп на 99,,
K2. Add food entry,K14,Порція г,Змінити грами,Ккал перераховуються,,
K2. Add food entry,K15,Порція мл,Якщо продукт у мл,Парситься мл,,
K2. Add food entry,K16,Невалідна порція,«abc»,Відкат до попередньої,,
K2. Add food entry,K17,Change date минуле,Change date → вчора → Select,Бейдж дати оновився; запис у вчора (на Home сьогодні його не буде),,
K2. Add food entry,K18,Change date майбутнє,Завтра,Дата приймається (пікер без min/max),,
K2. Add food entry,K19,Close date sheet,Close без Select,Дата не змінена,,
K2. Add food entry,K20,Інгредієнт edit,Змінити рядок інгредієнта,Оновлюється,,
K2. Add food entry,K21,Інгредієнт порожній,Стерти рядок,Інгредієнт видаляється,,
K2. Add food entry,K22,Add успіх,Add,Алерт «added to {meal}» → OK → Home,,
K2. Add food entry,K23,Add помилка,(якщо є),"Алерт з текстом, не тихий fail",,
K2. Add food entry,K24,Back без Add,Back,Нічого не залогувалось,,
L. Edit meal,L01,Відкриття з їжею,Олівець на прийомі з 2+ позиціями,"Список, порції, AI-композер, Save, Close, `+`",,
L. Edit meal,L02,Порожній прийом,Олівець на порожньому,"Картка meal схована, композер є",,
L. Edit meal,L03,Зміна порції,Змінити г і закрити клавіатуру,Home після Save показує нові ккал,,
L. Edit meal,L04,Видалити одну,Delete на рядку,"Рядок зникає, сума ккал Home зменшилась",,
L. Edit meal,L05,Видалити останню,Видалити всі,"Картка meal ховається, Home порожній прийом",,
L. Edit meal,L06,Add через `+`,`+` → Search → продукт,Зʼявляється в цьому прийомі,,
L. Edit meal,L07,Close vs Save,Змінити порцію → Close,"Перевірити, що збережене (персиститься до Save) — поведінка має бути передбачувана, без «привиду»",,
L. Edit meal,L08,AI текст,«replace chicken with turkey» → Send,"Сканувальна анімація, позиція оновлюється",,
L. Edit meal,L09,AI з фото,Plus → gallery → фото → Send,Аналіз/заміна проходить,,
L. Edit meal,L10,AI mic,Mic у композері,Транскрипт у полі,,
L. Edit meal,L11,AI fail,Offline Send,Немає крашу; (зараз може не бути тоста — нотувати),,
L. Edit meal,L12,Scan overlay,Під час AI send,"Лінія по цільових рядках, fade по краях, loop 1.5 с",,
L. Edit meal,L13,Клавіатура,Фокус у композері,"Footer піднімається, список не перекритий",,
L. Edit meal,L14,Dismiss жестом,Свайп шита вниз,Закривається,,
M1. Intro,M01,Перший захід,Новий юзер / після реінсталу,"Intro: превʼю чату, 4 capability, CTA",,
M1. Intro,M02,Capability rows,Дивитись,"Chat, memory, recipes, insights",,
M1. Intro,M03,Start,Start,"Чат, intro більше не показується",,
M1. Intro,M04,Intro не повторюється,Start → інший таб → AI,Чат,,
M2. Чат,M05,Welcome в чаті,Порожня історія,Вітальне повідомлення асистента,,
M2. Чат,M06,Відправка тексту,Написати питання → Send,User bubble + відповідь,,
M2. Чат,M07,Порожній Send,Порожнє поле,Send неактивний / ігнор,,
M2. Чат,M08,Чіп Nutrition,Тап,"Відправляється промпт, відповідь про нутрицієнти",,
M2. Чат,M09,Чіп Meals,Тап,Відповідь про прийоми,,
M2. Чат,M10,Чіп Swaps,Тап,Пропозиції замін,,
M2. Чат,M11,Mic у чаті,Mic → мова,Текст у полі (ще не обовʼязково автоsend),,
M2. Чат,M12,Attach menu,Plus,Меню Camera / Gallery / Files,,
M2. Чат,M13,Attach camera,Camera → фото,"Повідомлення з фото, відповідь",,
M2. Чат,M14,Camera unavailable,Симулятор без камери,Алерт camera unavailable,,
M2. Чат,M15,Attach gallery,Gallery,Фото в чаті,,
M2. Чат,M16,Attach file,Files → картинка,Приймає image,,
M2. Чат,M17,Не-картинка у Files,PDF,Помилка noImage,,
M2. Чат,M18,Dismiss attach,Тап поза меню / dismiss button,Меню закрилось,,
M2. Чат,M19,Logged meal card,Попросити залогувати їжу і підтвердити,"Картка в чаті, їжа на Home",,
M2. Чат,M20,Undo logged meal,Undo на картці,Запис зникає з Home,,
M2. Чат,M21,Swap card Apply,Apply на swap,"Їжа замінена, XP swap можливий",,
M2. Чат,M22,Swap See more,See more,Додаткові опції / навігація без крашу,,
M2. Чат,M23,Recipe card Log,Якщо прийшла картка рецепта,Лог у щоденник,,
M2. Чат,M24,Water confirm,Попросити додати воду,Алерт Confirm/Cancel; Confirm → вода на Home,,
M2. Чат,M25,Water cancel,Cancel,Вода не додалась,,
M2. Чат,M26,Помилка мережі,Airplane → Send,"System message / failed, композер знову доступний",,
M2. Чат,M27,Клавіатура,Друкувати,Чат скролиться над композером,,
M2. Чат,M28,Довгий тред,20+ повідомлень,"Скрол до низу, FPS ок",,
M2. Чат,M29,History button,History,Екран історії,,
M2. Чат,M30,Back у чаті (tab root),Якщо є Back,Не ламає таб,,
M3. Історія чатів,M31,Список,Відкрити History після кількох чатів,"Секції, рядки",,
M3. Історія чатів,M32,Пошук,Ввести слово з минулого чату,Фільтр рядків,,
M3. Історія чатів,M33,Чіпи All/Nutrition/Meals/Swaps,Перемикати,Список фільтрується,,
M3. Історія чатів,M34,Mic пошуку,Mic,Текст у полі,,
M3. Історія чатів,M35,Clear search,Clear,Повний список,,
M3. Історія чатів,M36,Тап розмови,Тап рядка,Повернення в чат із цією сесією,,
M3. Історія чатів,M37,Clear all,Clear all,Історія порожня; чат на табі скидається до welcome,,
M3. Історія чатів,M38,Back,Back,Чат,,
N. Progress,N01,Контент,Відкрити Progress,"Title, subtitle (стрік/саммарі), 3 кнопки",,
N. Progress,N02,Немає графіків,Дивитись екран,[очікувано немає] чартів і превʼю фото,,
N1. Log weight,N03,Відкриття,Log weight,"Поле, слайдер, kg/lb, дата, Save",,
N1. Log weight,N04,Слайдер ↔ поле,Порухати слайдер,Число в полі збігається,,
N1. Log weight,N05,Ввід з клавіатури,Ввести 72.5,Слайдер підтягнувся,,
N1. Log weight,N06,kg → lb,Сегмент lb,"Конвертація, межі 66–440",,
N1. Log weight,N07,Межі,Спробувати 10 kg / 250 kg,Клампається до 30–200 kg,,
N1. Log weight,N08,Change date,Вчора → Save,Зберігається на ту дату (історії на екрані немає — перевірити відсутність помилки),,
N1. Log weight,N09,Save,Save,Pop на Progress,,
N1. Log weight,N10,Back без Save,Back,Вага не записалась,,
N1. Log weight,N11,Помилка збереження,(якщо є),Алерт,,
N1. Log weight,N12,Друга вага за день,Зберегти ще раз,Не краш (два записи або оновлення — нотувати фактичну поведінку),,
N2. Log workout,N13,Відкриття,Log exercise,"Типи, імʼя, дата, duration, calories, Save",,
N2. Log workout,N14,Кожен тип,Тапнути всі 6,"Імʼя підставляється, чіп вибраний",,
N2. Log workout,N15,Своє імʼя,Перейменувати,Зберігається кастомна назва,,
N2. Log workout,N16,Duration,Поставити 5 хв і 90 хв,"Мін 1 хв, значення зберігається",,
N2. Log workout,N17,Ккал порожньо,Не вводити ккал → Save,"0 ккал, без крашу",,
N2. Log workout,N18,Ккал число,250 → Save,Home burn зріс на ~250,,
N2. Log workout,N19,Change date,Інша дата → Save,Успіх,,
N2. Log workout,N20,Back,Back,Не збережено,,
N2. Log workout,N21,Клавіатура vs picker,Фокус calories / duration,Скрол не ховає Save,,
N3. Progress photo,N22,Крок 1,Відкрити,"«1/2 Front», shutter, gallery, flash, close",,
N3. Progress photo,N23,Front камера,Зняти,Перехід на Side 2/2,,
N3. Progress photo,N24,Front gallery,Gallery,Теж на Side,,
N3. Progress photo,N25,Side,Зняти side,"Закриває флоу, Progress знову",,
N3. Progress photo,N26,Close на кроці 1,Close,Нічого не збережено (або лише нічого видимого),,
N3. Progress photo,N27,Close на кроці 2,Після front → Close,Front уже збережене; side немає — нотувати,,
N3. Progress photo,N28,Flash,On/off,Працює,,
N3. Progress photo,N29,Дозвіл камери / галереї,Deny,"Алерт, не краш",,
N3. Progress photo,N30,Capture fail,Симулятор,Алерт помилки,,
O. Rewards / XP / бейджі,O01,Список,Відкрити Rewards,"Картка рівня (XP, прогрес) + 12 бейджів",,
O. Rewards / XP / бейджі,O02,Locked art,Новий юзер,Бейджі з 0 виглядають locked,,
O. Rewards / XP / бейджі,O03,Тап locked,Тап бейджа,"Деталь: прогрес X/Y, без конфеті unlock",,
O. Rewards / XP / бейджі,O04,Share на деталі,Share,Share sheet,,
O. Rewards / XP / бейджі,O05,View all / Close,Кнопки на деталі,Назад до списку / закриття,,
O. Rewards / XP / бейджі,O06,XP за їжу,Залогувати 1 продукт,+10 XP на картці рівня,,
O. Rewards / XP / бейджі,O07,XP за воду,`+` склянка,+5 XP,,
O. Rewards / XP / бейджі,O08,XP за вагу,Save weight,+15 XP,,
O. Rewards / XP / бейджі,O09,XP за workout,Save workout,+10 XP,,
O. Rewards / XP / бейджі,O10,XP за progress photo,Завершити front+side,"+25 за збереження (перевірити, чи раз чи двічі — нотувати)",,
O. Rewards / XP / бейджі,O11,Рівень ап,Набрати ≥100 XP,"Назва рівня Explorer, прогрес-бар",,
